Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Bean,Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,9,15,10,yes,45-70,kg/ha,90-120,Days,15,12,15,1,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
Bean,Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,2,15,3,yes,45-70,kg/ha,90-120,Days,15,5,15,6,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
"Pea, dry",Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,9,30,12,yes,60-90,kg/ha,90-120,Days,15,12,15,1,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
"Pea, dry",Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,3,15,4,yes,60-90,kg/ha,90-120,Days,15,7,31,8,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
Potato,Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,1,1,9,no,"1,500-2,000",tubers/ha,120-150,Days,15,2,15,3,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
Potato,Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,2,31,3,no,"1,500-2,000",tubers/ha,120-150,Days,15,6,31,8,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
"Beet, sugar",Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,9,15,10,no,"30,000",cuttings/ha,120-150,Days,15,3,31,4,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
"Beet, sugar",Birunga,"Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.",15,3,15,4,no,"30,000",cuttings/ha,120-150,Days,15,7,31,8,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",,,,,,
Corn,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,9,15,10,no,30-45,kg/ha,120-160,Days,15,1,15,2,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Corn,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",1,2,15,3,no,30-45,kg/ha,120-160,Days,15,6,15,7,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Corn,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,7,15,8,no,30-45,kg/ha,120-160,Days,15,12,15,1,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Corn,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,7,15,8,no,30-45,kg/ha,120-160,Days,15,12,15,1,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Sorghum,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,9,15,10,no,8-10,kg/ha,90-120,Days,15,1,15,2,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Sorghum,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,3,15,4,no,8-10,kg/ha,90-120,Days,1,6,15,7,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Bean,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",1,9,31,10,no,45-70,kg/ha,90-120,Days,1,11,28,2,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Bean,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,2,15,4,no,45-70,kg/ha,90-120,Days,15,5,15,8,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Bean,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",1,8,31,8,no,45-70,kg/ha,90-120,Days,15,10,15,11,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
"Pea, dry",Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",1,9,15,10,no,60-70,kg/ha,90-120,Days,15,12,28,2,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
"Pea, dry",Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,2,15,4,no,60 - 70,kg/ha,90-120,Days,1,5,15,8,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
Potato,Congo-Nile Watershed Divide & Buberuka highlands,"Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ",15,9,15,10,no,"1,500-2,500",tubers/ha,120-150,Days,15,1,15,3,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",,,,,,
